title,company,location,link
파생상품 거래소 백엔드 개발자,알투브이,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e290724a4ccb433a&vjs=3
React / React Native / javascript 개발자(신입/경력),블록오디세이,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4f7d8dd1ca5a456b&vjs=3
[EY한영] 감사본부 FAAS팀 블록체인 및 가상화폐/데이터 가치평가 분야 경력직 모집,EY,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3b7ff43f07484aaf&vjs=3
HTML5 게임 클라이언트 프로그래머 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a834f0503ceb5a7b&vjs=3
Software Engineer (Blockchain MainNet),LINE Plus corporation,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=df24e94cdd0f9335&vjs=3
(주)프리메타 블록체인 개발,아프리카TV,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f528b328840351d2&vjs=3
미래전략추진실 데이터 분석 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=341925e229fc5738&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 담당자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59f963b3832983f9&vjs=3
Digital Tech 본부 _ 디지털 기술 기반 컨설팅 컨설턴트 채용,삼정 KPMG,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e0b64ce85649510&vjs=3
IMC 마케터 (명품쇼핑몰)-강남/스타트업/쇼핑몰/커머스/인센티브,티에스커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=165eae4ecda1d675&vjs=3
지스트 블록체인지능융합센터 우수연구원 초빙,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef549e0ac3402fa4&vjs=3
IMC 마케터 (명품쇼핑몰)-강남/스타트업/쇼핑몰/커머스/인센티브,티에스커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=165eae4ecda1d675&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 담당자,티맥스그룹,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=86a93e65e8650616&vjs=3
"비영리법인(인원:100명, 서울 서초구 소재(교대역인근)) IT개발자 경력 건 (총 6명)",에이스파트너스서치펌,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=95e2dd4ed7eb0d04&vjs=3
[대형보험사] 신사업부문 블록체인 Frontend 개발자,커리어라임즈,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=221cb5c1d8d85457&vjs=3
서비스 기획자(웹/앱) -강남/스타트업/쇼핑몰/커머스/인센티브,티에스커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=618255d6d9b9df0b&vjs=3
"C·C++, C# 외 경력 정규직, 프리랜서",브이스트로,서울 용산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2f97cf678e2a6a78&vjs=3
지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c7d674c1d5466ed2&vjs=3
[한화호텔&리조트] 블록체인/NFT 기획 인력 모집,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2298f50b9fdf7070&vjs=3
ICO분석 및 컨설팅,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=47afb74db72dc887&vjs=3
[한화생명] 신사업부문 사이버보안 안드로이드 App 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d5caf52b3e6806f0&vjs=3
